Kategori,Özellik,Nasıl Kazanılır,Değer,Notlar
Asr-ı Saadet Rozetleri,Mescid-i Nebevi İnşası,6000 Hasene kazan,6000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Kardeşlik Antlaşması,7000 Hasene kazan,7000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Bedir Savaşı,8000 Hasene kazan,8000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Ramazan Orucu,9000 Hasene kazan,9000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Uhud Savaşı,10000 Hasene kazan,10000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hendek Savaşı,12000 Hasene kazan,12000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hudeybiye Antlaşması,14000 Hasene kazan,14000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hayber'in Fethi,16000 Hasene kazan,16000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Mekke'nin Fethi,18000 Hasene kazan,18000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Huneyn Savaşı,20000 Hasene kazan,20000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Tebük Seferi,22000 Hasene kazan,22000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Veda Haccı,24000 Hasene kazan,24000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Vefat,26000 Hasene kazan,26000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hz. Ebu Bekir'in Halife Seçilmesi,28000 Hasene kazan,28000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Ridde Savaşları,30000 Hasene kazan,30000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hz. Ömer'in Halife Seçilmesi,32000 Hasene kazan,32000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Kadisiyye Savaşı,35000 Hasene kazan,35000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Kudüs'ün Fethi,38000 Hasene kazan,38000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hicri Takvim Başlangıcı,42000 Hasene kazan,42000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hz. Ömer'in Şehit Edilmesi,45000 Hasene kazan,45000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hz. Osman'ın Halife Seçilmesi,50000 Hasene kazan,50000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Kuran'ın Çoğaltılması,55000 Hasene kazan,55000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hz. Osman'ın Şehit Edilmesi,60000 Hasene kazan,60000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hz. Ali'nin Halife Seçilmesi,65000 Hasene kazan,65000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Cemel (Deve) Vakası,70000 Hasene kazan,70000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Sıffin Savaşı,75000 Hasene kazan,75000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hz. Ali'nin Şehit Edilmesi,80000 Hasene kazan,80000 Hasene,"Sadece Hasene gereksinimi"
